confidence,max_exposure,cooldown_hours,fee_bps,final_equity,total_return,cagr,sharpe,max_drawdown,num_trades,benchmark_return,benchmark_cagr,excess_return,excess_cagr
0.6,0.6,1,5,9.00403353177967e+55,9.00403353177967e+51,9.772874788772461e+51,3.4070111429535492,-0.000596245883952573,976,0.8708223066474614,0.8716251103993979,9.00403353177967e+51,9.772874788772461e+51
0.6,0.6,1,10,7.375783222631332e+55,7.375783222631332e+51,8.004496888249225e+51,3.405164484217279,-0.0011927846406836196,976,0.8708223066474614,0.8716251103993979,7.375783222631332e+51,8.004496888249225e+51
0.6,0.6,1,15,6.041838364384085e+55,6.041838364384085e+51,6.555950362575244e+51,3.40331235334116,-0.0017896162282315942,976,0.8708223066474614,0.8716251103993979,6.041838364384085e+51,6.555950362575244e+51
0.6,0.6,3,5,2.438024696285144e+41,2.438024696285144e+37,2.5861020639421085e+37,2.7537970021461646,-0.0006020047592480982,612,0.8708223066474614,0.8716251103993979,2.438024696285144e+37,2.5861020639421085e+37
0.6,0.6,3,10,2.1220282717575623e+41,2.1220282717575623e+37,2.2506990810986516e+37,2.752384520838931,-0.0012043207772087783,612,0.8708223066474614,0.8716251103993979,2.1220282717575623e+37,2.2506990810986516e+37
0.6,0.6,3,15,1.846933701594068e+41,1.846933701594068e+37,1.9587376567858295e+37,2.7509677142248568,-0.00180694796341907,612,0.8708223066474614,0.8716251103993979,1.846933701594068e+37,1.9587376567858295e+37
0.6,0.6,6,5,8.478212121756642e+33,8.478212121756642e+29,8.887980985038979e+29,2.433329691741919,-0.0005935881720261493,447,0.8708223066474614,0.8716251103993979,8.478212121756642e+29,8.887980985038979e+29
0.6,0.6,6,10,7.606795044864545e+33,7.606795044864545e+29,7.973854218437958e+29,2.432128936596785,-0.0011874962371593023,447,0.8708223066474614,0.8716251103993979,7.606795044864545e+29,7.973854218437958e+29
0.6,0.6,6,15,6.82473078421453e+33,6.82473078421453e+29,7.15352055750773e+29,2.43092437040028,-0.0017817241500930336,447,0.8708223066474614,0.8716251103993979,6.82473078421453e+29,7.15352055750773e+29
0.6,0.6,12,5,9.657285599460127e+26,9.657285599460127e+22,1.0013781862475708e+23,2.0784641276355496,-0.0005536711272132733,309,0.8708223066474614,0.8716251103993979,9.657285599460127e+22,1.0013781862475708e+23
0.6,0.6,12,10,8.900620379484691e+26,8.900620379484691e+22,9.228668781055646e+22,2.0774665945355446,-0.0011076960726295049,309,0.8708223066474614,0.8716251103993979,8.900620379484691e+22,9.228668781055646e+22
